text_komentar,nama_akun
@wonkyboba:  Terlalu lebih kelebihan itu pemalu ??,@wonkyboba
@wonkycrab:  maksudnya nyoret nyoret apaan dah sok berilmu,@wonkycrab
"@ghostboba:  malesin lama lama liat Ibnu Wardani macam doi aja yang punya uang, orang kagak!...gw biasa liburan ke Eropa aja B aja...kalau mau berbagi info yang positif aja""",@ghostboba
@weirddonut404:  komuk nya dia udah menunjukkan lagi menghaluuu??????,@weirddonut404
@midnightbanana03:  aduuh jangan tinggi tinggi apa kalo ngomong..maksudnya apa si ngomongin ginian???perasaan bukan baru dia yang pergi kejepang..noraaakkk??????,@midnightbanana03
"@bluntclown404:  Bukan flexing, NORAK. ????????????",@bluntclown404
@wonkybanana03:  bikin malu,@wonkybanana03
@sillypeach03:  dasar kontol,@sillypeach03
@sleepycactus:  kerjaaa kontol,@sleepycactus
@darkbanana:  paling gak bisa kalau soal musang,@darkbanana
@midnightpopsicle420:  Bersyukur atas isinya,@midnightpopsicle420
@sleepycrab03:  ihhhh anak kampung,@sleepycrab03
@crazycactus:  Antikristus,@crazycactus
@darksundaex:  enggak ada otak,@darksundaex
@toxiccrumpet:  dasar miskin,@toxiccrumpet
@shadypopsicle_z:  minimal cuci muka,@shadypopsicle_z
@spicycrab420:  Itam Bangett Muka Lu,@spicycrab420
@grumpycrab88:  Pragos,@grumpycrab88
@grumpyboba99:  merinding pas ingat dia jadi Wednesday,@grumpyboba99
@boredgoblin:  Dia hidup di dunia imajiner ya,@boredgoblin
@chaiza:  Yang terbaik dari yang terbaik,@chaiza
@muhammad hanif:  lucu juga ni mascot dufan,@muhammad hanif
@Zonatoko:  Miss Nrocos Tasyi,@Zonatoko
@Nabilatisyaa:  Kibinyikin Bicit,@Nabilatisyaa
@Mpelss:  bacot,@Mpelss
@Tokyo_:  kibinyikin bicit,@Tokyo_
@ASAHAB_KILAB:  Peler,@ASAHAB_KILAB
@apaya:  ratu kesalahan,@apaya
@FANSJENNIEKIM:  lucu sekali beruang inj,@FANSJENNIEKIM
@sillypiratex: kocak induk bengkok,@sillypiratex
@gasendra:  kebanyakan bacot,@gasendra
@lotuye:  repot banget banana boat,@lotuye
@pasyi:  BACOT,@pasyi
@lol??:  gak sok itu beneran kentut,@lol??
@teletabies:  PickMe,@teletabies
@Ariigatoo:  Mandi minimal !!!,@Ariigatoo
@panpan:  paling gak bisa kalo soal musang,@panpan
@queennix??:  kok mirip prindapan,@queennix??
@udaraTerbuka:  mohon maaf sejak kapan bright bibirny maju,@udaraTerbuka
@?????:  paling ga bisa tentang ular kawat ??,@?????
@sayaultraman:  paling ga bisa soal ulet keket,@sayaultraman
@panggilajapesuk:  paling ga bisa kalo soal biawak batam ??,@panggilajapesuk
@Miji:  Paling ga bisa soal kutu air??,@Miji
@ikiii:  gabisa kalo tentang tikus sawah??,@ikiii
@cilukbaa:  paling gbsa kalo soal lele,@cilukbaa
@sillypeach420:  Bisakah kamu menjadi akhir?,@sillypeach420
@lazypeach420:  dih mukanya,@lazypeach420
@crazypirate:  paling gak bisa klo soal cicak kesetrum,@crazypirate
@sleepycrumpet:  PALING GABISA SOAL KOLIBRI??,@sleepycrumpet
@midnightpeac:  Paling gabisa kalo soal opet,@midnightpeac
@bluntghostx:  paling gabisa kalau soal ac rusak??,@bluntghostx
@boredboba:  pas wink merinding ??,@boredboba
@ghostcrumpet:  kirain orang prindapan,@ghostcrumpet
@midnightbanana:  merinding wir,@midnightbanana
@crazypudding:  prestasi pas apa itu ????,@crazypudding
@toxicworm:  Ajing bahkan diracuni,@toxicworm
@saltyzombie03:  Merinding bingung,@saltyzombie03
@saltykitten03:  Jangan lupa mandi,@saltykitten03
@sillyduck420:  bayu rada rada,@sillyduck420
@weirdworm:  kasian sama tembok nya tahan napas wkwk????,@weirdworm
@boreddonut:  senyum lu mirip logo Arsenal,@boreddonut
@weirdkitten:  paling ga bisa kalo soal kambing,@weirdkitten
@wonkypirate:  gabisa kalo soal leak,@wonkypirate
"@fuzzygoblin99:  logo bukan sembarang logo, mantap meriam london",@fuzzygoblin99
@bluntgoblin03:  Hama Tiktok,@bluntgoblin03
@bluntnoodle_z:  paling gabisa soal jentik nyamuk,@bluntnoodle_z
@ghostgoblin:  rubah,@ghostgoblin
@sleepypopsicle:  manyunan kematian,@sleepypopsicle
@spicykitten:  semangat apa yang di katakan hatters itu BENAR,@spicykitten
@midnightboba420:  gak pernah mandi dari kecil,@midnightboba420
@midnightpopsicle:  Bayu menolak mandi??,@midnightpopsicle
"@sillycactus88:  -1,kaya grafik pembunuhan yang di brazil gess",@sillycactus88
@sleepydonut99:  target marketing nya squad berak lancar,@sleepydonut99
@crazypeach:  Kentut Poh Kah?,@crazypeach
@fuzzypeach:  paling ga bisa soal Buzz Lightyear??????,@fuzzypeach
@ghostboba:  Alisnya tasyi tinggi sebelah,@ghostboba
@fuzzynoodle420:  komuk suaminya anjir lah??,@fuzzynoodle420
"@spicynoodle88:  maju lo semua yang bilang tasyi mirip Buzz, gua kan sekarang tiap liat tasyi jadi bayangin Buzz",@spicynoodle88
@pixelboba:  kok mirip yg robot di film toy story,@pixelboba
@wonkygoblin420:  alisnya tinggi sebelah,@wonkygoblin420
@sillyghost:  sama sama buzz,@sillyghost
@spicypiratex:  senyum logo arsenal berkah,@spicypiratex
@sillycrumpet:  logo arsenal versi hijab,@sillycrumpet
@saltyduck404:  senyum logo arsenal wk,@saltyduck404
@sleepyclown03:  Lesung pipi yang bikin orang darah tinggi,@sleepyclown03
@wonkynoodle:  Logo Mirip Damkar,@wonkynoodle
@boredclown404:  udah mirip logo persita,@boredclown404
@saltypudding420:  bener kata orang-orang emang mirip logo arsenal,@saltypudding420
@boredpirate_07:  Mirip falak,@boredpirate_07
@midnightkitten_xoxo:  valak versi indo,@midnightkitten_xoxo
@grumpyduck_07:  busett itu dagu panjang bener wkwkw,@grumpyduck_07
@shadypirate:  lu malah mirip hatori,@shadypirate
@crazydonutx:  anak kampung,@crazydonutx
@midnightboba:  malah cosplay jadi valak,@midnightboba
@crazysundae:  Jadi Valak??,@crazysundae
@grumpypirate99:  mirip petrik,@grumpypirate99
@spicygoblin:  pickboy??,@spicygoblin
@grumpyworm88:  mirip isis,@grumpyworm88
